,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC284600,4.648952971,-1.119853919,0.630487113,0.010157409,0.029725882
LOC100288175,7.257988729,1.231880199,0.430955199,0.000465179,0.002437308
LOC107984868,3.56460623,1.696436579,0.542544996,0.000156174,0.001001972
ANKRD65,22.2707162,2.388296823,0.524602778,2.01E-07,4.08E-06
ANKRD65-AS1,1.36523448,2.074929086,1.262787483,0.004050946,0.01413707
ATAD3C,23.34322326,-1.068196273,0.32398495,0.00019226,0.001182109
TMEM52,6.008804364,-1.478019484,0.373573728,9.13E-06,9.76E-05
CFAP74,7.499624154,-2.812433744,0.577416335,1.31E-07,2.88E-06
GABRD,6.813113393,2.569406717,0.611483425,1.49E-06,2.18E-05
TP73,18.19817289,1.623525949,0.451290719,1.97E-05,0.000182329
TP73-AS3,2.354960078,2.305762615,0.838459721,0.00026281,0.001526844
SMIM1,5.049403627,-1.22694686,0.409865414,0.000407938,0.002184376
LINC01134,7.994904759,1.024339946,0.365928134,0.000781899,0.003734186
HES2,3.044492315,1.657015566,0.88179209,0.002542809,0.009674627
UTS2,10.38578589,1.168834049,0.427345097,0.000680023,0.003332311
LOC105376695,4.917970735,-1.324171782,0.508794196,0.001184835,0.005219433
SLC45A1,16.45540689,1.087024044,0.564952785,0.004759102,0.016100227
SLC2A5,38.03750744,2.416822977,0.59151536,1.32E-06,1.96E-05
RBP7,58.05211483,1.276435128,0.404622079,0.000136796,0.000899969
MASP2,985.5498166,-1.052390168,0.356042115,0.000624184,0.00311063
RNU5E-1,15.78584424,-1.656275862,0.379794688,1.72E-06,2.44E-05
MIR6730,4.594844586,-1.019701716,0.340069542,0.000505096,0.002606717
PRAMEF11,6.041948913,5.975787567,1.516456743,5.93E-08,1.50E-06
PRAMEF4,21.09522507,5.900810569,1.043070899,6.89E-11,4.55E-09
PRAMEF10,116.0976197,4.441061176,0.733808798,1.88E-11,1.43E-09
PRAMEF7,4.237709386,2.731864509,1.019394166,0.00015649,0.001003229
PRAMEF6,2.311548498,4.130396625,1.781751545,0.000887542,0.004125343
PRAMEF25,2.475018924,6.263867366,2.707024347,0.000228376,0.00135663
PRAMEF26,2.240044324,5.937631878,2.798922737,0.00120573,0.005294745
PRAMEF9,2.60170366,6.330749269,2.735031835,0.000248466,0.001458022
PRAMEF5,2.322987593,6.180840758,2.665609034,0.000185906,0.001148387
PRAMEF8,5.172415098,3.090514747,1.011645059,4.70E-05,0.000377422
PRAMEF33,114.5894078,3.986584906,0.776271691,3.96E-09,1.51E-07
PRAMEF15,25.0843623,5.847739863,1.080586771,5.37E-10,2.68E-08
PDPN,33.9037815,1.173812361,0.583697682,0.003235589,0.011786787
KAZN,85.83626465,-1.182673145,0.314327926,3.09E-05,0.000264799
FHAD1,22.13314564,1.275050479,0.400774064,0.000131717,0.000874121
FBLIM1,188.4796384,1.167091432,0.333899766,5.16E-05,0.000405252
EPHA2,305.2542937,-1.536915019,0.280781936,6.73E-09,2.39E-07
RNU1-1,1209.817441,-1.206413117,0.176658319,1.65E-12,1.65E-10
RNU1-3,1121.181375,-1.255000558,0.17558504,1.68E-13,2.21E-11
ESPNP,8.11401658,-1.035000659,0.400671169,0.001804981,0.007344024
RNU1-4,177.276719,-1.226237528,0.189919743,2.04E-11,1.54E-09
RNU1-2,134.2758947,-1.360820343,0.193536684,3.50E-13,4.08E-11
MFAP2,12.83916122,1.4014039,0.696420442,0.00220654,0.008597283
LOC105376806,3.345849337,1.878811982,0.862034314,0.001347852,0.005793132
PADI1,5.968445935,4.091526893,0.764642293,0.00010605,0.000733871
PADI4,8.941134893,-2.485356831,0.487614015,3.75E-08,1.03E-06
AKR7A3,648.3249475,-1.262710441,0.405645677,0.00029693,0.001684507
CDA,95.89817365,-1.047825056,0.338787093,0.000404865,0.002169887
C1QA,920.1659472,-1.211974008,0.330114406,4.30E-05,0.000349354
C1QB,1732.1121,-1.130790231,0.322297949,8.21E-05,0.00059745
EPHB2,65.49391268,1.057501661,0.438449638,0.001715217,0.007032391
E2F2,25.03815814,2.314324608,0.448111652,1.06E-08,3.53E-07
HMGCL,1226.585211,-1.129067613,0.20704535,1.04E-08,3.49E-07
MAN1C1,384.7209091,-1.766099016,0.282483005,5.74E-11,3.88E-09
STMN1,439.1840313,1.816626889,0.309316584,2.51E-10,1.39E-08
MIR3917,10.70006584,1.235460298,0.393719301,0.000178816,0.001112259
LOC101928216,2.195609924,2.504490424,0.751736014,0.002618477,0.009918943
EXTL1,5.241750749,1.691391301,0.715797466,0.00088722,0.004124907
CRYBG2,21.27501769,1.707755329,0.512191451,4.27E-05,0.000347596
SFN,29.24877068,2.904981432,0.693313882,6.94E-07,1.15E-05
NR0B2,260.9261017,-1.220331921,0.297246299,7.25E-06,8.06E-05
TRNP1,92.85398275,1.481461817,0.427627726,3.42E-05,0.000288896
FCN3,539.3850475,-2.508506732,0.543400657,4.90E-07,8.58E-06
SMPDL3B,12.10374336,1.131327198,0.479079768,0.001826474,0.007411044
TAF12-DT,23.44440023,-1.17119932,0.220265359,1.89E-08,5.76E-07
RNU11,16.43384134,-1.334295002,0.262342171,5.55E-08,1.42E-06
LOC105378625,35.06191484,1.590235046,0.607810403,0.000407488,0.002182429
LOC105379772,28.40322686,1.569508263,0.69062573,0.000952255,0.004369786
LDC1P,5.621792136,2.479107191,0.76522799,5.34E-05,0.000417479
LINC01226,7.945755261,1.911826887,0.640679436,0.000138439,0.000909109
ADGRB2,3.73856026,1.175773651,0.688630413,0.006750715,0.021344373
SPOCD1,3.756958829,1.070647588,0.69766872,0.010489221,0.030525244
FAM167B,15.70166381,-1.254837998,0.262113687,2.77E-07,5.31E-06
KIAA1522,290.2254691,1.270408127,0.246193073,2.48E-08,7.18E-07
CSMD2,23.93287901,2.130735531,0.590137207,1.09E-05,0.00011197
LOC105378642,12.86554603,-1.447509314,0.325209494,1.22E-06,1.84E-05
CLSPN,98.84661051,3.056697524,0.445178838,1.81E-13,2.33E-11
GRIK3,2.432519679,-1.190822585,0.796265754,0.014531157,0.039571932
ZC3H12A,159.6194255,-1.047527522,0.21429429,2.31E-07,4.58E-06
CDCA8,44.96580941,2.698090996,0.402518311,8.20E-13,8.83E-11
LINC02811,2.3800699,1.495499323,0.750179217,0.003346001,0.01213439
COL9A2,28.40852748,1.210253685,0.54841832,0.002023553,0.008050579
ZFP69B,60.11432395,1.294510204,0.217856938,3.11E-10,1.67E-08
LOC105378678,3.389322212,2.709181129,0.977498418,0.00013372,0.000883208
RIMKLA,14.41175378,1.041011299,0.348153883,0.000403435,0.002163955
FAM183A,5.56307725,2.850185454,0.9499953,9.14E-05,0.000652112
CDC20-DT,3.134764914,1.025466541,0.479992762,0.004970831,0.016674878
CDC20,59.48109681,3.526511294,0.453588844,2.14E-16,5.66E-14
LINC02918,5.029114833,1.203925349,0.374762851,0.000193696,0.001188896
RNU5F-1,7.017051997,-1.197433048,0.320425079,3.08E-05,0.000264647
RNU5D-1,17.25183169,-1.571827242,0.325194581,1.84E-07,3.80E-06
KIF2C,78.61757557,3.315258519,0.423457476,1.38E-16,3.95E-14
PLK3,105.7193151,-1.263722549,0.253998304,1.18E-07,2.63E-06
DYNLT4,36.79693658,-1.153695832,0.263418358,2.28E-06,3.08E-05
BTBD19,34.33949505,-1.249963705,0.239702066,3.27E-08,9.23E-07
LOC107984952,14.08838313,-1.054125002,0.255688967,7.52E-06,8.29E-05
ZSWIM5,100.3950335,1.620587697,0.378688853,1.12E-06,1.72E-05
CCDC163,10.78898438,1.843426753,0.377307696,8.30E-08,1.98E-06
RAD54L,64.42814725,1.108202987,0.2940101,2.05E-05,0.000188068
