"Symbol","GSM4462456","GSM4462457","GSM4462458","GSM4462459","GSM4462460","GSM4462461","GSM4462462","GSM4462464","GSM4462465","GSM4462467","GSM4462468","GSM4462515","GSM4462518","GSM4462519","GSM4462521","GSM4462522","GSM4462523","GSM4462524","GSM4462525","GSM4462526","GSM4462527","GSM4462529","GSM4462530","GSM4462531","GSM4462539","GSM4462540","GSM4462541","GSM4462542","GSM4462548","GSM4462550","GSM4462552","GSM4462553","GSM4462555","GSM4462556","GSM4462557","GSM4462558","GSM4462559","GSM4462560","GSM4462562","GSM4462565","GSM4462566","GSM4462569","GSM4462570","GSM4462572","GSM4462573","GSM4462577","GSM4462583"
"ALB","1119253","2250923","2147716","546873","2134069","1526566","1937785","1664640","2765060","1123597","1608169","1551768","1718326","1855384","751320","836927","582848","494714","930729","1188806","748641","456824","121269","95035","314615","992540","297799","372519","663601","35558","706209","832563","301819","532768","1166603","480956","13137","469509","1673756","1804590","77318","225414","690888","150420","44028","216037","345369"
"RN7SL1","772629","607321","731299","543417","987022","649861","816397","997988","678636","645383","586977","682687","490673","1045044","485002","561023","441155","454005","253484","414229","350288","545566","584588","424359","189423","269954","567839","267313","74212","206471","369967","480357","390773","337178","458297","138695","234603","122221","316926","534261","697916","308655","462079","134551","256332","296583","124646"
"LOC107987206","772629","607321","731301","543418","987022","649862","816398","997989","678637","645385","586978","682688","490675","1045047","485004","561024","441158","454005","253485","414231","350289","545566","584588","424359","189427","269954","567842","267315","74214","206471","369967","480359","390773","337179","458298","138697","234604","122222","316929","534261","697919","308657","462086","134554","256336","296586","124651"
"RN7SK","597651","387793","622335","689566","877055","404678","668057","695436","766698","565505","494030","559984","569557","946935","1048473","615982","424524","312710","522842","690601","490523","643289","398189","474989","350256","421281","733321","236480","260664","271434","635496","813116","733961","595076","572194","271605","288931","121847","229584","794916","306550","213351","903990","171467","786186","435644","311025"
"RN7SL2","615466","473700","613470","513677","902457","451856","687528","757345","549770","549414","447708","495030","388691","760402","510316","538103","392069","339821","223167","336027","304573","337663","404596","289735","150134","257021","417621","207969","80053","173206","303549","354665","279068","272383","360541","99192","207264","129029","275842","427232","414759","307157","398015","126726","211675","287671","90294"
"LOC105378179","615481","473712","613483","513680","902472","451861","687557","757351","549784","549433","447725","495036","388711","760416","510339","538117","392088","339834","223185","336055","304580","337690","404614","289777","150156","257046","417649","207986","80088","173222","303567","354680","279095","272413","360570","99243","207276","129048","275857","427248","414811","307183","398045","126754","211736","287722","90318"
"APOB","264767","373971","365971","206521","333495","355230","247039","400420","416583","271421","239169","504617","357023","398391","323976","208218","166073","294582","389134","455257","247622","394922","279768","276853","49623","227150","155787","80626","196379","17884","395173","470950","269898","375371","333967","183092","26838","234105","368030","424232","21028","98395","341762","124478","138575","228660","143925"
"FGA","158753","285574","306922","228582","280919","389263","330011","548009","282368","218450","191438","327993","210631","460501","182475","212329","164175","128563","158898","197868","148896","191964","103374","112661","8797","241097","81006","40518","39472","18241","203939","245265","176380","221968","343028","78199","10931","90195","249003","335436","16404","42279","67029","12598","33108","99404","15547"
"HP","151253","279352","203535","200120","306233","373895","202368","325432","331732","242132","206417","203419","129118","472319","101569","180968","198821","85726","90152","113365","139584","249395","88723","109131","1301","80665","63275","744","15103","12882","141924","169386","52705","73947","193633","4930","267","99787","82841","183942","13361","36840","24573","14741","19609","32395","6230"
"FGB","134162","193277","220380","181902","243037","300251","254512","426303","238283","165770","141387","273931","153432","378794","150601","172017","138825","94218","118090","141983","123363","152774","77566","63095","3620","190639","52116","19747","31057","9735","180177","216642","133751","160247","190568","30700","15949","68399","191540","271065","9370","30548","46694","6675","36103","49465","10523"
"C3","195238","216989","152771","99984","152766","200602","150367","241191","177043","187380","126173","169073","187845","221728","255846","148461","86340","142563","212021","271139","101208","236684","115544","64724","50625","140456","99827","37418","81579","33643","121728","142208","413475","121253","156880","36671","69823","133029","162192","193564","41516","83942","194479","19120","38945","91616","51152"
"FGG","91255","148072","169348","152080","157838","227100","176310","325201","185399","123621","110259","214992","110817","267005","109681","107008","93095","69414","93073","111788","96504","114778","53338","62571","3788","159286","58570","25266","23848","11219","130006","163305","113732","137471","177062","36542","16975","46683","154509","225992","12043","18550","37418","6996","27124","50067","7601"
"SERPINA1","138008","170858","145061","184061","189900","236209","65889","329612","145186","147237","97584","195717","131037","281359","122244","201180","139317","147927","115596","141425","105236","141645","58934","133789","49033","81372","159372","61060","36204","46026","182628","218675","214658","121746","226345","147381","6466","84951","201814","120979","50671","35522","65771","27645","27005","86402","31626"
"FN1","63333","110660","85565","48197","110819","81288","94773","97228","94622","69438","70154","115713","142022","130383","89287","133207","106798","96080","107137","133443","48488","156649","56466","135260","99923","110734","107124","109521","54234","61219","152516","179195","42120","278252","169206","56551","77872","77048","114882","78189","158057","60057","482147","48227","55578","65505","32932"
"NEAT1","85901","38238","34546","30911","24672","34106","55478","41149","38324","78518","21402","70831","74351","52745","22507","87722","129679","38562","28424","31930","27084","64957","106019","163282","46111","63082","23849","424121","79326","64551","32440","37612","64067","83053","62492","162250","83803","119702","109971","47040","50313","108676","96351","103896","14688","293497","38258"
"RNA45SN4","74355","54332","37127","31997","42244","32139","138016","47321","401133","99033","25026","85072","91609","39386","121733","150076","153726","66406","105726","91618","69045","78691","182705","192706","25596","52668","175893","62862","37465","49970","58082","78802","134994","138403","127569","55575","40965","21152","135001","73010","52039","155410","126869","30808","15864","57311","36256"
"TF","93398","205147","123026","36912","166081","125236","133027","118154","175636","96102","141537","191540","188718","144853","103767","81861","44116","127516","69952","89690","74987","61195","58293","140319","3238","70765","63942","19409","35338","6617","100852","120797","212489","47918","48793","34748","512","34469","181253","191833","2730","75804","62564","79179","56963","118632","25219"
"RNA28SN4","72820","51942","35329","29481","40259","29687","129288","45874","349067","91557","24038","73369","81886","36869","105521","127033","133808","59369","95935","82327","60621","69233","163728","158043","21517","46510","149794","54233","33632","44760","50145","67855","123431","117304","114894","50656","37808","18965","113604","65238","46905","139850","110372","27100","14243","53099","31149"
"RNA45SN5","28743","26678","16708","14895","19087","14524","68558","24022","323804","50109","10601","64529","65765","17947","86024","116313","115259","44646","61307","59552","52422","53086","142669","171147","14590","36057","143520","35272","23042","27851","43572","57808","75258","108444","76958","29281","27847","12970","113980","48584","36003","95387","87544","19084","10838","33982","28144"
"MALAT1","60410","47395","61597","71892","80134","58430","79825","53570","71645","75399","37928","95222","99772","82520","178565","127548","197913","80431","113476","112427","84358","191688","124377","135872","126215","94150","107071","215701","87335","106182","87280","104993","138237","153355","193754","225317","112914","115986","104462","128420","116640","182535","185437","132679","69863","282353","102008"
"TALAM1","58458","46268","59878","69992","78033","57072","77586","52104","70159","73049","36952","93040","97440","80688","174549","124101","193156","79144","111025","110567","83072","187856","121946","133565","124433","92293","104681","212508","85534","104856","85745","102738","136447","150824","189801","222249","111304","113286","102612","125729","114638","178965","182938","130417","68754","276893","100270"
"CPS1","71661","74350","107279","43878","96162","75176","108705","50342","129198","67785","60154","118734","103308","71920","99983","122835","109106","107846","107769","129245","48665","184498","120518","91503","876","70109","2591","25","40279","7179","67409","81045","59364","3245","59205","200","44","72969","72805","215285","2110","10326","45737","2598","115039","4472","5603"
"RNR2","6680","8334","9149","5506","10164","4696","16924","6054","225114","10869","9062","58007","52648","10547","105444","100693","95383","38057","113376","66722","49712","38545","126340","113930","25540","37947","117996","16977","21977","14114","50097","65030","57984","109723","63074","68119","12839","22652","96816","73405","35664","63143","52135","24722","27412","41243","36989"
"COX1","63049","156854","92595","42143","103999","89282","244331","73461","181937","50634","80680","59897","137724","117019","115225","112794","150464","120774","74643","78014","89206","89488","136779","60967","44103","59028","32638","63330","58166","35609","45579","49624","122206","85213","115252","87374","46215","64070","98190","101009","50975","85324","66766","134385","89612","89678","128541"
"SNORD3A","116294","67907","99778","80354","141292","75664","103655","130574","68462","111567","69755","25307","34429","98831","172544","119408","66945","44057","34019","41208","77528","114897","63690","78022","58672","60718","161537","114076","80678","48014","93288","25975","49236","85665","60583","61167","57190","37407","33817","94160","161069","24630","95415","47405","52058","40176","48186"
"RNA45SN3","6446","8051","5089","5476","5681","5961","28689","5905","199043","16042","3816","37005","32660","6454","50413","71514","67142","24991","28916","32629","33881","31671","76187","108728","9919","21736","90214","20704","13388","15375","27731","30427","42308","75780","36779","13525","8140","6545","73101","22901","17237","56675","54863","9234","5262","15512","17003"
"CFB","46016","39955","38181","25469","50285","62395","26856","85354","51894","44222","34565","57460","47041","61724","69676","42220","23949","35893","69308","87156","26592","54051","20319","38895","2862","34760","12857","11437","11431","8716","31053","40095","227284","29087","29466","11764","6621","30891","39583","37087","3648","10727","24696","1769","12680","19627","2064"
"RNA28SN3","4749","5441","3547","3443","4027","3314","17853","4497","187564","9742","2783","34105","29748","4247","45819","66341","61810","22359","25106","30089","31784","28184","71012","101999","5661","19870","83918","13221","11668","11469","25566","27488","35092","70813","30876","10823","5494","5646","68926","19937","15326","49841","48383","6225","4557","13293","15607"
"RMRP","70856","53134","89266","75211","125257","73021","120475","127371","102710","109243","81198","47562","59679","106783","158222","95905","99816","52306","58581","74383","49560","102205","29326","71984","45808","48289","143421","75329","31958","65616","94095","76601","68694","77199","69111","51539","38746","9676","35466","67075","61846","21651","49431","36447","28699","24383","20359"
"RNA28SN5","25092","22142","13702","12300","16345","11793","57839","18915","196785","33828","9164","39773","41770","15267","52825","68565","68258","29143","45226","40171","33498","34118","86248","93936","8506","21507","78988","21094","15729","18327","28256","37547","52722","63511","51292","20348","17271","8767","66713","30975","23057","63966","54790","12689","7349","24132","17314"
"ALDOB","62776","75692","101570","32672","84137","52459","95595","52578","116593","47895","71559","76423","75672","58348","30523","42702","59987","34765","60164","73555","45337","65479","65535","44133","768","35839","12108","7824","8448","4603","17361","20303","101890","17495","26872","3827","43","37112","62555","73567","1859","46555","37204","3134","108284","17886","2893"
"ORM1","65903","38111","40842","45124","63433","121651","35168","159830","60864","58148","50181","53994","29282","101105","49883","49523","38596","21361","23245","30731","43396","66068","14282","16192","785","23450","9938","10654","6996","3930","24247","30985","35300","21051","57278","2109","10022","15815","25369","25867","2315","14437","13402","5619","13200","8024","17492"
"ADH1B","84438","57719","78292","8656","89601","53158","54635","65646","136251","44948","83237","75870","48650","28265","36522","71630","35605","30971","11908","14269","29121","21656","11557","243","688","20250","4910","792","10583","5282","34260","42324","4504","6556","33964","257","628","17521","56992","48286","2336","16331","5682","20","4914","25623","1375"
"CYP3A4","45670","42051","63731","1063","102120","29299","39192","62529","66087","45054","43367","60420","44415","36936","78445","20648","26942","21606","3533","4115","9923","5665","8430","206","466","6093","2169","103","14189","161","79024","96499","3470","2391","6197","41","17","10510","32463","2386","2955","8819","336","60","353","10186","1027"
"CP","48757","56668","51467","73985","53170","79330","39218","91499","84863","46354","36852","106288","56282","59298","37497","50110","26080","34637","54966","63659","41382","65814","40229","46763","2717","38383","21746","27761","11161","7050","37124","44892","142520","37702","45869","8175","4794","31507","54731","51915","19342","27315","48107","9712","33856","15160","3558"
"RNA45SN1","7239","6782","4529","4068","4815","4246","19129","7076","151013","18874","2589","26680","27931","4823","33956","49063","48755","16169","21918","22016","20716","19777","65687","75819","5768","13524","58401","13195","9333","11306","17186","21928","29629","48988","26626","9862","10287","4768","48837","20541","14814","38640","36182","6131","3671","11454","11647"
"EEF1A1","51580","45229","59442","56616","90320","51178","85695","70529","71303","54097","37643","59756","49013","62648","79408","45763","54750","48173","37795","47491","64415","64736","25576","33112","64092","46741","90277","55748","39984","84393","80487","98419","166790","63152","78661","63227","66476","26474","57498","71412","88117","15561","69899","16517","40823","54189","73447"
"APOH","47351","71669","74750","20845","83982","48013","68001","78277","104255","48726","63127","65091","59723","60379","77844","36079","30921","35598","31331","38751","34028","38700","22842","28842","1469","41665","18100","6101","23885","1783","26887","32331","35081","25196","35262","12788","194","25154","57287","24813","2160","9909","26225","10048","12271","26611","6519"
"FTL","26375","23627","29810","16165","49055","32152","53697","50444","38287","53771","27625","42301","40048","46734","66809","48882","43073","40767","33335","42666","31090","100517","29991","26780","10665","17286","66124","63088","17434","18794","70525","94323","38148","47881","64018","119285","16553","8036","32163","80938","36350","13452","58078","13168","6720","41146","20015"
"A2M","94197","67693","33077","42047","48780","37992","34542","56655","43227","28892","16996","54603","45656","57792","55833","22541","46610","26017","41079","50798","35583","36675","10661","25104","18593","14813","50154","10797","41857","16307","22733","27196","42889","33206","68475","10543","11460","27195","114831","55400","14464","5548","93879","5909","4441","18138","7373"
"SERPINA3","26874","31082","34562","55999","38583","54022","21879","94614","29687","25427","26479","28283","18729","100261","30757","29172","38254","27623","11266","13892","29353","28026","16277","19142","1353","29882","61648","2751","2932","14757","72983","89440","39623","39280","55821","8535","10729","11678","32944","51425","10617","3707","10276","1486","2656","23172","2340"
"CRP","1409","13216","6816","20298","3507","25799","2066","91753","1461","9655","5332","36317","7485","65458","5044","17329","24213","13790","9458","11030","19039","52200","650","59896","370","8427","22891","1443","144","7557","33467","41892","55670","47163","101411","5339","1260","2555","7747","13268","1968","3120","7592","1332","692","10394","2003"
"RNA18SN5","3456","4232","2906","2499","2617","2421","7299","5013","126650","15994","1253","24721","23931","2522","32872","47620","46763","15254","16009","19280","18847","18715","56369","77061","5332","14476","64381","12431","7131","8444","15232","20194","20821","44659","25232","8812","10371","4179","47225","17522","12894","30130","31855","6128","3426","9688","10798"
"CYP2E1","17353","69331","65368","5318","40059","35857","32869","59090","49206","25098","48576","27257","11992","14350","21401","107447","14070","35184","11718","14684","8444","9917","404","299","360","3466","1684","3","27913","267","24560","27940","797","4522","12298","1061","7","4411","55810","26423","1747","877","47","47","156","6070","540"
"RN7SL3","49931","43812","37000","48237","90914","42140","79865","70817","54964","47649","35442","59554","40382","70560","124301","52415","38181","44552","18204","35734","25643","29933","38567","31462","14636","18939","48008","37718","3905","22966","25830","37541","28315","26858","82054","4557","16224","12682","30410","38665","47724","42675","51547","10537","21577","42242","7286"
