"GeneID","Symbol"
"8644","AKR1C3"
"10075","HUWE1"
"1063","CENPF"
"7153","TOP2A"
"10564","ARFGEF2"
"1314","COPA"
"3799","KIF5B"
"23020","SNRNP200"
"7203","CCT3"
"4841","NONO"
"4288","MKI67"
"54906","TASOR2"
"3006","H1-2"
"7913","DEK"
"10051","SMC4"
"55000","TUG1"
"3376","IARS1"
"3837","KPNB1"
"23244","PDS5A"
"9735","KNTC1"
"57187","THOC2"
"23394","ADNP"
"1660","DHX9"
"4763","NF1"
"8295","TRRAP"
"7468","NSD2"
"10728","PTGES3"
"6596","HLTF"
"4176","MCM7"
"8450","CUL4B"
"5928","RBBP4"
"7840","ALMS1"
"1434","CSE1L"
"116064","LRRC58"
"57148","RALGAPB"
"3009","H1-5"
"10155","TRIM28"
"10236","HNRNPR"
"23381","SMG5"
"23185","LARP4B"
"4172","MCM3"
"51322","WAC"
"11198","SUPT16H"
"9988","DMTF1"
"9031","BAZ1B"
"23225","NUP210"
"3608","ILF2"
"27316","RBMX"
"11260","XPOT"
"54542","RC3H2"
"57082","KNL1"
"10592","SMC2"
"5422","POLA1"
"10274","STAG1"
"1894","ECT2"
"23165","NUP205"
"56288","PARD3"
"8833","GMPS"
"7916","PRRC2A"
"9631","NUP155"
"6241","RRM2"
"22974","TPX2"
"2975","GTF3C1"
"23512","SUZ12"
"11083","DIDO1"
"9972","NUP153"
"9520","NPEPPS"
"3838","KPNA2"
"7398","USP1"
"11073","TOPBP1"
"9213","XPR1"
"51755","CDK12"
"10963","STIP1"
"9371","KIF3B"
"11176","BAZ2A"
"10772","SRSF10"
"57720","GPR107"
"60412","EXOC4"
"9343","EFTUD2"
"55215","FANCI"
"4175","MCM6"
"54874","FNBP1L"
"10615","SPAG5"
"9653","HS2ST1"
"10771","ZMYND11"
"51203","NUSAP1"
"55157","DARS2"
"6733","SRPK2"
"26019","UPF2"
"64151","NCAPG"
"24148","PRPF6"
"9994","CASP8AP2"
"2146","EZH2"
"26130","GAPVD1"
"84893","FBH1"
"57510","XPO5"
"23062","GGA2"
"23032","USP33"
"9928","KIF14"
"10657","KHDRBS1"
"54892","NCAPG2"
"9918","NCAPD2"
"23560","GTPBP4"
"4686","NCBP1"
"81611","ANP32E"
"10238","DCAF7"
"8021","NUP214"
"23511","NUP188"
"27101","CACYBP"
"4436","MSH2"
"81844","TRIM56"
"7587","ZNF37A"
"1659","DHX8"
"4001","LMNB1"
"672","BRCA1"
"9202","ZMYM4"
"84515","MCM8"
"3054","HCFC1"
"2218","FKTN"
"29904","EEF2K"
"57589","RIC1"
"23637","RABGAP1"
"8339","H2BC8"
"8349","H2BC21"
"790","CAD"
"54552","GNL3L"
"9055","PRC1"
"23534","TNPO3"
"205564","SENP5"
"51496","CTDSPL2"
"23054","NCOA6"
"22929","SEPHS1"
"57209","ZNF248"
"9716","AQR"
"5717","PSMD11"
"11190","CEP250"
"54801","HAUS6"
"675","BRCA2"
"29855","UBN1"
"128239","IQGAP3"
"63979","FIGNL1"
"8453","CUL2"
"24137","KIF4A"
"26586","CKAP2"
"9416","DDX23"
"140707","BRI3BP"
"29127","RACGAP1"
"8985","PLOD3"
"9329","GTF3C4"
"57122","NUP107"
"26152","ZNF337"
"64421","DCLRE1C"
"55151","TMEM38B"
"1062","CENPE"
"11311","VPS45"
"80179","MYO19"
"8358","H3C2"
"3017","H2BC5"
"253714","MMS22L"
"5933","RBL1"
"84641","MFSD14B"
"79915","ATAD5"
"6628","SNRPB"
"54880","BCOR"
