	Ctrl1	Ctrl2	Ctrl3	Case1	Case2	Case3
Gene1	96	107	88	103	111	90
Gene2	94	98	103	94	99	90
Gene3	103	103	94	105	86	92
Gene4	94	101	103	84	76	97
Gene5	111	93	87	108	106	108
Gene6	96	113	95	94	107	114
Gene7	86	108	108	101	94	116
Gene8	97	91	94	118	104	110
Gene9	115	94	91	110	98	86
Gene10	121	100	96	127	100	93
Gene11	103	78	116	88	105	92
Gene12	96	104	84	95	105	100
Gene13	104	106	120	95	118	92
Gene14	110	101	84	115	95	114
Gene15	104	89	103	85	101	104
Gene16	106	95	104	105	84	93
Gene17	115	109	102	90	93	104
Gene18	117	98	94	112	89	119
Gene19	102	87	113	106	96	110
Gene20	100	110	106	114	96	102
Gene21	99	93	69	111	87	108
Gene22	104	78	101	100	109	98
Gene23	111	97	88	101	105	102
Gene24	98	96	76	112	99	100
Gene25	89	97	104	96	100	105
Gene26	81	120	97	99	120	90
Gene27	85	84	82	112	110	86
Gene28	104	107	93	108	96	95
Gene29	112	108	85	100	95	97
Gene30	116	95	123	104	94	105
Gene31	109	84	79	98	96	88
Gene32	103	83	82	106	96	96
Gene33	109	98	86	79	86	108
Gene34	127	93	82	104	99	102
Gene35	76	99	93	99	102	106
Gene36	94	105	116	122	103	119
Gene37	76	96	103	111	97	112
Gene38	99	124	91	103	86	101
Gene39	101	101	113	87	108	106
Gene40	87	96	97	116	100	97
Gene41	100	99	100	104	82	87
Gene42	87	90	115	105	90	89
Gene43	89	86	91	100	104	80
Gene44	110	90	96	103	99	73
Gene45	106	100	85	101	93	91
Gene46	103	109	83	102	98	93
Gene47	104	96	103	85	92	90
Gene48	83	86	110	89	118	102
Gene49	108	95	100	86	94	88
Gene50	101	95	95	92	108	99
Gene51	95	86	120	81	102	87
Gene52	90	89	105	96	97	98
Gene53	99	108	92	97	116	104
Gene54	87	103	115	88	92	108
Gene55	95	86	87	109	91	107
Gene56	106	92	90	102	99	88
Gene57	100	119	106	102	98	119
Gene58	99	87	113	103	79	110
Gene59	95	101	95	107	91	87
Gene60	100	117	102	88	100	81
Gene61	91	90	102	109	101	97
Gene62	88	96	104	106	91	110
Gene63	104	85	107	111	105	94
Gene64	91	89	98	110	93	103
Gene65	104	101	94	108	113	115
Gene66	98	93	104	87	89	86
Gene67	93	104	91	113	103	98
Gene68	100	89	83	92	94	107
Gene69	102	107	103	100	95	85
Gene70	107	106	92	110	93	96
Gene71	117	122	90	113	110	106
Gene72	92	121	89	117	106	121
Gene73	95	91	82	95	81	101
Gene74	95	114	92	113	113	120
Gene75	108	99	108	98	92	96
Gene76	94	75	97	109	98	121
Gene77	103	121	103	91	91	109
Gene78	97	106	110	91	103	84
Gene79	93	113	105	83	96	107
Gene80	83	105	112	99	111	105
Gene81	93	109	106	106	103	113
Gene82	111	95	89	111	104	104
Gene83	109	108	127	104	106	94
Gene84	81	95	108	108	100	105
Gene85	98	89	106	83	105	123
Gene86	98	98	97	115	91	104
Gene87	113	130	113	108	108	87
Gene88	117	109	86	105	90	80
Gene89	93	94	97	103	106	109
Gene90	99	88	103	102	95	84
Gene91	71	97	102	110	89	104
Gene92	78	106	106	95	83	101
Gene93	99	101	83	92	113	90
Gene94	105	102	90	82	92	113
Gene95	107	95	113	98	100	115
Gene96	93	116	104	107	106	89
Gene97	132	112	92	98	96	89
Gene98	130	105	109	92	89	95
Gene99	98	103	89	105	112	102
Gene100	91	93	101	74	99	94
